symbol,timestamp,tradingDay,open,high,low,close,volume
"IBM","2020-05-07T14:00:00-04:00","2020-05-07","121.64","121.88","121.1","121.26","384334"
"IBM","2020-05-07T15:00:00-04:00","2020-05-07","121.25","121.5","120.85","121.2","648695"
"IBM","2020-05-08T09:00:00-04:00","2020-05-08","122.67","122.8","121.06","121.64","464109"
"IBM","2020-05-08T10:00:00-04:00","2020-05-08","121.66","122.43","121.49","121.84","476998"
"IBM","2020-05-08T11:00:00-04:00","2020-05-08","121.835","122.29","121.51","122.25","385281"
"IBM","2020-05-08T12:00:00-04:00","2020-05-08","122.26","122.28","121.623","121.9667","481234"
"IBM","2020-05-08T13:00:00-04:00","2020-05-08","121.97","122.01","121.49","121.78","337247"
"IBM","2020-05-08T14:00:00-04:00","2020-05-08","121.78","122.57","121.71","122.21","456795"
"IBM","2020-05-08T15:00:00-04:00","2020-05-08","122.23","123.23","122.03","122.94","873878"
"IBM","2020-05-11T09:00:00-04:00","2020-05-11","121.81","122.01","120.95","121.07","381041"
"IBM","2020-05-11T10:00:00-04:00","2020-05-11","121.0375","121.6","120.67","121.28","319413"
"IBM","2020-05-11T11:00:00-04:00","2020-05-11","121.3","122.51","121.27","122.4935","286573"
"IBM","2020-05-11T12:00:00-04:00","2020-05-11","122.49","123.24","122.3614","123.055","252085"
"IBM","2020-05-11T13:00:00-04:00","2020-05-11","123.07","123.45","122.98","123.07","280441"
"IBM","2020-05-11T14:00:00-04:00","2020-05-11","123.1","123.18","122.75","123.0099","212038"
"IBM","2020-05-11T15:00:00-04:00","2020-05-11","123","123.28","122.54","122.55","477631"
"IBM","2020-05-12T09:00:00-04:00","2020-05-12","123.08","123.68","122.81","123.59","337585"
"IBM","2020-05-12T10:00:00-04:00","2020-05-12","123.59","124.26","123.16","123.64","689916"
"IBM","2020-05-12T11:00:00-04:00","2020-05-12","123.61","123.9009","122.95","123.32","291159"
"IBM","2020-05-12T12:00:00-04:00","2020-05-12","123.29","124.32","123.18","123.885","662892"
"IBM","2020-05-12T13:00:00-04:00","2020-05-12","123.88","123.93","122.69","122.895","317244"
"IBM","2020-05-12T14:00:00-04:00","2020-05-12","122.8918","122.95","122.2","122.3","254758"
"IBM","2020-05-12T15:00:00-04:00","2020-05-12","122.28","122.35","120.26","120.3","834338"
"IBM","2020-05-13T09:00:00-04:00","2020-05-13","119.95","119.99","117.7","118.29","595036"
"IBM","2020-05-13T10:00:00-04:00","2020-05-13","118.24","119.045","117.53","117.639","428195"
"IBM","2020-05-13T11:00:00-04:00","2020-05-13","117.64","117.9508","115.81","116.05","559524"
"IBM","2020-05-13T12:00:00-04:00","2020-05-13","116.07","116.28","115.37","115.8828","662127"
"IBM","2020-05-13T13:00:00-04:00","2020-05-13","115.92","116.25","115.5","115.88","364726"
"IBM","2020-05-13T14:00:00-04:00","2020-05-13","115.83","116.07","115.3","115.3001","355601"
"IBM","2020-05-13T15:00:00-04:00","2020-05-13","115.33","115.9","114.85","115.74","1153210"
