symbol,timestamp,tradingDay,open,high,low,close,volume
GOOG,13/05/2020 10:50,13/05/2020,137772,137848,1376,137619,4062
GOOG,13/05/2020 10:55,13/05/2020,137603,137604,136886,136965,10398
GOOG,13/05/2020 11:00,13/05/2020,137029,1372,136925,137153,8106
GOOG,13/05/2020 11:05,13/05/2020,137279,137279,136953,137078,4437
GOOG,13/05/2020 11:10,13/05/2020,137118,137311,137093,137311,2600
GOOG,13/05/2020 11:15,13/05/2020,1374395,137463,136952,136952,8035
GOOG,13/05/2020 11:20,13/05/2020,136899,137007,13642,1364735,8942
GOOG,13/05/2020 11:25,13/05/2020,136453,13667,13625,1366375,7434
GOOG,13/05/2020 11:30,13/05/2020,136544,136728,1364286,136494,5550
GOOG,13/05/2020 11:35,13/05/2020,136484,136484,136101,136279,8207
GOOG,13/05/2020 11:40,13/05/2020,1363406,136352,135882,13591,8269
GOOG,13/05/2020 11:45,13/05/2020,13599,135998,135474,1355499,11565
GOOG,13/05/2020 11:50,13/05/2020,135578,135788,1352721,13533,10229
GOOG,13/05/2020 11:55,13/05/2020,135202,135244,134749,134979,18198
GOOG,13/05/2020 12:00,13/05/2020,1349,1351659,1345,1345412,15919
GOOG,13/05/2020 12:05,13/05/2020,134513,1348534,1340,134009,13320
GOOG,13/05/2020 12:10,13/05/2020,134042,134456,133976,134042,12962
GOOG,13/05/2020 12:15,13/05/2020,133944,134416,133795,133839,8943
GOOG,13/05/2020 12:20,13/05/2020,133949,134525,133949,134108,7981
GOOG,13/05/2020 12:25,13/05/2020,134119,134617,133994,134543,10078
GOOG,13/05/2020 12:30,13/05/2020,134596,134644,134109,134513,10412
GOOG,13/05/2020 12:35,13/05/2020,13445,1348533,134222,1348205,5630
GOOG,13/05/2020 12:40,13/05/2020,134783,134783,134426,1345236,7801
GOOG,13/05/2020 12:45,13/05/2020,1346079,134804,1346024,1348,2938
GOOG,13/05/2020 12:50,13/05/2020,134836,135024,134791,134871,7948
GOOG,13/05/2020 12:55,13/05/2020,134885,13495,1346865,134796,3697
GOOG,13/05/2020 13:00,13/05/2020,1350,135025,134002,134055,6063
GOOG,13/05/2020 13:05,13/05/2020,134117,134155,133758,1338125,9487
GOOG,13/05/2020 13:10,13/05/2020,133863,134281,133847,1342147,6234
GOOG,13/05/2020 13:15,13/05/2020,134194,1344641,13409,1343255,5953
GOOG,13/05/2020 13:20,13/05/2020,134303,134332,13394,1340566,9294
GOOG,13/05/2020 13:25,13/05/2020,133925,134269,1338657,134168,8241
GOOG,13/05/2020 13:30,13/05/2020,134102,134189,133926,1339648,5588
GOOG,13/05/2020 13:35,13/05/2020,133971,134297,13393,134184,6744
GOOG,13/05/2020 13:40,13/05/2020,134334,1344,134024,134107,4645
GOOG,13/05/2020 13:45,13/05/2020,134051,134301,134013,134301,4658
GOOG,13/05/2020 13:50,13/05/2020,1342915,134363,1340706,1340706,5139
GOOG,13/05/2020 13:55,13/05/2020,134108,1342,1340711,1341341,6542
GOOG,13/05/2020 14:00,13/05/2020,134005,1341516,133816,133838,6245
GOOG,13/05/2020 14:05,13/05/2020,133836,1342265,133836,1342215,8422
GOOG,13/05/2020 14:10,13/05/2020,1342105,134561,1340919,1343094,9594
GOOG,13/05/2020 14:15,13/05/2020,134328,1348018,1342736,134515,6203
GOOG,13/05/2020 14:20,13/05/2020,134473,134584,134183,134315,6792
GOOG,13/05/2020 14:25,13/05/2020,134409,134433,134004,134004,10200
GOOG,13/05/2020 14:30,13/05/2020,134059,134182,133952,134021,11783
GOOG,13/05/2020 14:35,13/05/2020,133963,134176,133932,134023,10018
GOOG,13/05/2020 14:40,13/05/2020,1340276,134074,133831,133895,10478
GOOG,13/05/2020 14:45,13/05/2020,133885,1339306,133411,133594,17194
GOOG,13/05/2020 14:50,13/05/2020,133578,133641,1333218,133469,6547
GOOG,13/05/2020 14:55,13/05/2020,133433,133529,133252,133252,8265
GOOG,13/05/2020 15:00,13/05/2020,133247,134114,133237,1340379,9838
GOOG,13/05/2020 15:05,13/05/2020,133945,13405,133539,133617,9108
